Website,Delivery Service
https://www.zomato.com/id/jakarta/kimukatsu-thamrin,Yes
https://www.zomato.com/id/jakarta/hatchi-pondok-indah,Yes
https://www.zomato.com/id/jakarta/black-cattle-senopati,Yes
https://www.zomato.com/id/jakarta/turkuaz-senopati,Yes
https://www.zomato.com/id/jakarta/tohakopi-tambora,Yes
https://www.zomato.com/id/jakarta/hafa-coffee-kitchen-bogor-utara-bogor,Yes
https://www.zomato.com/id/jakarta/la-konco-1-cilandak,Yes
https://www.zomato.com/id/jakarta/wyls-kitchen-veranda-hotel-at-pakubuwono-gandaria,Yes
https://www.zomato.com/id/jakarta/warung-tekko-kuningan,Yes
https://www.zomato.com/id/jakarta/kafe-betawi-fatmawati,Yes
https://www.zomato.com/id/jakarta/setengah-lima-coffee-kemang,Yes
https://www.zomato.com/id/jakarta/d-cost-4-mangga-dua,Yes
https://www.zomato.com/id/jakarta/don-bakeshop-kuningan,Yes
https://www.zomato.com/id/jakarta/beef-boss-pantai-indah-kapuk,Yes
https://www.zomato.com/id/jakarta/ayam-penyet-ria-khas-bu-ruth-scbd,Yes
https://www.zomato.com/id/jakarta/kila-kila-by-akasya-scbd,Yes
https://www.zomato.com/id/jakarta/the-roots-kemang,Yes
https://www.zomato.com/id/jakarta/shushu-puri-indah,Yes
https://www.zomato.com/id/jakarta/21-factory-gambir,Yes
https://www.zomato.com/id/jakarta/brown-fox-waffle-coffee-pasar-minggu,Yes
https://www.zomato.com/id/jakarta/bandar-djakarta-bekasi-utara-bekasi,Yes
https://www.zomato.com/id/jakarta/smarapura-1-tebet,Yes
https://www.zomato.com/id/jakarta/ottomans-coffee-brewers-kuningan,Yes
https://www.zomato.com/id/jakarta/pancious-thamrin,Yes
https://www.zomato.com/id/jakarta/teji-burger-fatmawati,Yes
https://www.zomato.com/id/jakarta/l%C3%A9-bleu-cafe-des-fleurs-jhl-solitaire-hotel-serpong-utara-tangerang,Yes
https://www.zomato.com/id/jakarta/sate-khas-senayan-serpong-utara-tangerang,Yes
https://www.zomato.com/id/jakarta/red-snapper-caf%C3%A9-pluit,Yes
https://www.zomato.com/id/jakarta/krispy-kreme-4-benda,Yes
https://www.zomato.com/id/jakarta/bebek-goreng-h-slamet-cinere-depok,Yes
https://www.zomato.com/id/jakarta/solaria-benda-tangerang,Yes
https://www.zomato.com/id/jakarta/bakso-malang-lazata-cimanggis-depok,Yes
https://www.zomato.com/id/jakarta/bakmi-rudy-pondok-indah,Yes
https://www.zomato.com/id/jakarta/montys-senopati,Yes
https://www.zomato.com/id/jakarta/harum-manis-sudirman,Yes
https://www.zomato.com/id/jakarta/gyu-kaku-prime-scbd,Yes
https://www.zomato.com/id/jakarta/kadoya-restaurant-green-ville,Yes
https://www.zomato.com/id/jakarta/blacklisted-puri-indah,Yes
https://www.zomato.com/id/jakarta/vilo-gelato-green-ville,Yes
https://www.zomato.com/id/jakarta/oro-italian-restaurant-lounge-kemang,Yes
https://www.zomato.com/id/jakarta/vegetus-vegetarian-muara-karang,Yes
https://www.zomato.com/id/jakarta/de-cafe-rooftop-garden-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/bakmi-nyaaah-lyn-gajah-mada,Yes
https://www.zomato.com/id/jakarta/polca-coffee-and-kitchen-tebet,Yes
https://www.zomato.com/id/jakarta/ajwad-kramat-jati,Yes
https://www.zomato.com/id/jakarta/roku-board-game-cafe-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/mr-coffeeholic-grogol,Yes
https://www.zomato.com/id/jakarta/anigre-sheraton-grand-jakarta-gandaria-city-hotel-gandaria,Yes
https://www.zomato.com/id/jakarta/tsuki-kedoya,Yes
https://www.zomato.com/id/jakarta/gubug-makan-mang-engking-serpong-tangerang,Yes
https://www.zomato.com/id/jakarta/magal-mapogalmegi-bbq-kemang,Yes
https://www.zomato.com/id/jakarta/soto-daging-mie-ayam-bakso-bapak-makin-gambir,Yes
https://www.zomato.com/id/jakarta/sovana-gajah-mada,Yes
https://www.zomato.com/id/jakarta/isadeli-bakery-cinere,Yes
https://www.zomato.com/id/jakarta/wo-ai-mie-1-fatmawati,Yes
https://www.zomato.com/id/jakarta/chuan-tin-puri-indah,Yes
https://www.zomato.com/id/jakarta/coco-ichibanya-curry-1-thamrin,Yes
https://www.zomato.com/id/jakarta/nanami-ramen-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/karniv-012-2-bekasi-utara-bekasi,Yes
https://www.zomato.com/id/jakarta/foodsomnia-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/gram-caf%C3%A9-pancakes-thamrin,Yes
https://www.zomato.com/id/jakarta/man-man-unagi-senopati,Yes
